,,,
,,,
,,,
PC-PC,CHAVE 128 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
16,4.98295E-05,5.9605E-06,0.000439167
17,6.38962E-05,5.9605E-06,0.0004310608
18,3.88622E-05,4.0531E-06,0.000439167
19,3.79086E-05,4.0531E-06,0.0003941059
20,7.89165E-05,3.8147E-06,0.0004651546
21,8.08239E-05,6.9141E-06,0.0021531582
22,5.10216E-05,5.0068E-06,0.0004351139
23,4.00543E-05,4.0531E-06,0.0003678799
24,5.60284E-05,5.9605E-06,0.0004320145
25,7.70092E-05,6.9141E-06,0.0004050732
26,6.07967E-05,7.1526E-06,0.0005550385
27,5.00679E-05,5.9605E-06,0.0004470348
28,4.98295E-05,4.0531E-06,0.0004961491
29,3.91006E-05,4.0531E-06,0.0004088879
30,5.98431E-05,5.0068E-06,0.0004680157
31,5.19753E-05,5.0068E-06,0.0005071163
32,6.19888E-05,5.0068E-06,0.0006558895
33,5.10216E-05,6.9141E-06,0.0004589558
34,5.60284E-05,7.1526E-06,0.0005588531
35,4.91142E-05,5.0068E-06,0.0005209446
36,8.60691E-05,6.9141E-06,0.0011739731
37,5.29289E-05,5.9605E-06,0.0004589558
38,5.31673E-05,5.0068E-06,0.0004589558
39,4.91142E-05,4.0531E-06,0.0004549026
40,4.00543E-05,3.8147E-06,0.0004551411
41,4.00543E-05,5.0068E-06,0.0004520416
42,6.10352E-05,9.0599E-06,0.0004608631
43,5.79357E-05,5.0068E-06,0.0007748604
44,4.29153E-05,5.0068E-06,0.000647068
45,3.79086E-05,3.8147E-06,0.0004501343
46,5.91278E-05,5.9605E-06,0.0004220009
47,4.69685E-05,5.0068E-06,0.000440836
48,3.91006E-05,4.0531E-06,0.0004119873
49,2.90871E-05,2.1458E-06,0.0002338886
50,5.48363E-05,4.0531E-06,0.0005049706
51,6.38962E-05,5.0068E-06,0.0004131794
52,5.88894E-05,6.1989E-06,0.0004169941
53,7.20024E-05,5.0068E-06,0.0004951954
54,5.50747E-05,6.9141E-06,0.0004580021
55,1.81198E-05,2.861E-06,0.0010249615
56,5.22137E-05,5.0068E-06,0.000399828
57,4.50611E-05,5.9605E-06,0.001185894
58,7.20024E-05,6.1989E-06,0.0004708767
59,4.88758E-05,5.0068E-06,0.0004460812
60,6.50883E-05,9.0599E-06,0.0005848408
61,4.19617E-05,3.8147E-06,0.0005631447
62,5.60284E-05,5.9605E-06,0.0004439354
63,1.90735E-05,1.9073E-06,0.0002300739
64,4.69685E-05,6.1989E-06,0.0005459785
65,5.57899E-05,1.09673E-05,0.0008020401
66,6.60419E-05,4.0531E-06,0.0005500317
67,6.00815E-05,5.9605E-06,0.0005218983
68,6.60419E-05,6.9141E-06,0.0007739067
69,7.29561E-05,5.9605E-06,0.0024111271
70,6.10352E-05,5.0068E-06,0.0003790855
71,5.79357E-05,4.7684E-06,0.0003712177
72,6.60419E-05,6.9141E-06,0.0010099411
73,5.60284E-05,1.3113E-05,0.0005409718
74,4.41074E-05,7.1526E-06,0.0005788803
75,4.1008E-05,5.9605E-06,0.0005230904
76,4.41074E-05,4.0531E-06,0.000494957
77,5.19753E-05,5.0068E-06,0.0003881454
78,5.79357E-05,8.8215E-06,0.0005991459
79,5.98431E-05,6.9141E-06,0.0011742115
80,5.00679E-05,5.9605E-06,0.0005249977
81,4.19617E-05,6.9141E-06,0.0005471706
82,6.69956E-05,5.0068E-06,0.0004639626
83,5.29289E-05,1.3113E-05,0.0005779266
84,6.60419E-05,9.0599E-06,0.000483036
85,4.81606E-05,6.1989E-06,0.0005128384
86,5.29289E-05,6.9141E-06,0.0004520416
87,5.60284E-05,6.9141E-06,0.0005578995
88,5.6982E-05,9.0599E-06,0.0006639957
89,4.79221E-05,7.1526E-06,0.0004599094
90,7.00951E-05,5.0068E-06,0.0004458427
91,6.69956E-05,5.9605E-06,0.0006999969
92,4.41074E-05,6.9141E-06,0.0005350113
93,5.91278E-05,6.1989E-06,0.0004467964
94,5.50747E-05,3.8147E-06,0.0004770756
95,6.69956E-05,5.9605E-06,0.001955986
96,5.00679E-05,4.0531E-06,0.0004577637
97,5.19753E-05,4.0531E-06,0.0004599094
98,3.91006E-05,4.0531E-06,0.0004589558
99,5.4121E-05,4.0531E-06,0.0004448891
100,6.10352E-05,5.0068E-06,0.0004680157
,,,
,,,
,,,
PC-PC,CHAVE 256 bits,Imagem,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
1,6.1989E-06,5.0068E-06,0.000346899
2,5.9605E-06,1.5974E-05,0.0004780293
3,5.9605E-06,7.1526E-06,0.0004489422
4,3.0994E-06,3.8147E-06,0.000246048
5,8.1062E-06,6.9141E-06,0.0004479885
6,5.0068E-06,6.9141E-06,0.0004069805
7,7.1526E-06,8.1062E-06,0.0005748272
8,6.9141E-06,5.0068E-06,0.0004091263
9,6.9141E-06,6.9141E-06,0.0004229546
10,5.9605E-06,5.0068E-06,0.0003368855
11,7.8678E-06,6.1989E-06,0.0004169941
12,5.0068E-06,6.9141E-06,0.0004029274
