,,
,,
,,
PC-PC,CHAVE 128 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
64,2.59876E-05,4.0531E-06
65,1.21593E-05,2.861E-06
66,1.50204E-05,4.0531E-06
67,1.09673E-05,2.861E-06
68,1.19209E-05,3.0994E-06
69,1.09673E-05,2.861E-06
70,1.5974E-05,4.0531E-06
71,1.09673E-05,3.0994E-06
72,1.09673E-05,2.861E-06
73,1.21593E-05,3.0994E-06
74,1.5974E-05,5.0068E-06
75,1.38283E-05,1.5974E-05
76,1.40667E-05,4.0531E-06
77,1.50204E-05,4.0531E-06
78,1.21593E-05,2.861E-06
79,1.12057E-05,1.9073E-06
80,1.21593E-05,3.8147E-06
81,2.7895E-05,5.0068E-06
82,1.50204E-05,5.0068E-06
83,1.09673E-05,3.0994E-06
84,1.09673E-05,3.0994E-06
85,1.3113E-05,3.0994E-06
86,1.21593E-05,2.861E-06
87,7.1526E-06,1.9073E-06
88,1.28746E-05,3.8147E-06
89,1.19209E-05,3.0994E-06
90,1.4782E-05,5.0068E-06
91,1.38283E-05,5.0068E-06
92,1.28746E-05,3.0994E-06
93,1.50204E-05,5.0068E-06
94,1.50204E-05,5.0068E-06
95,1.50204E-05,5.0068E-06
96,1.5974E-05,5.0068E-06
97,1.5974E-05,4.0531E-06
98,1.21593E-05,2.861E-06
99,1.50204E-05,5.0068E-06
100,1.19209E-05,3.0994E-06
,,
,,
,,
PC-PC,CHAVE 256 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
1,4.00543E-05,3.19481E-05
2,7.29561E-05,4.98295E-05
3,6.19888E-05,4.91142E-05
4,6.00815E-05,4.29153E-05
5,4.00543E-05,4.19617E-05
6,6.10352E-05,8.2016E-05
7,1.62125E-05,1.19209E-05
8,3.91006E-05,3.09944E-05
9,4.29153E-05,3.09944E-05
10,5.60284E-05,4.98295E-05
11,6.60419E-05,5.00679E-05
12,5.88894E-05,4.69685E-05
13,3.88622E-05,3.09944E-05
14,4.50611E-05,3.60012E-05
15,4.00543E-05,3.09944E-05
16,4.00543E-05,3.09944E-05
17,4.41074E-05,3.09944E-05
18,3.88622E-05,3.19481E-05
19,6.00815E-05,4.88758E-05
20,7.29561E-05,3.19481E-05
21,3.91006E-05,3.09944E-05
22,4.00543E-05,3.19481E-05
23,4.00543E-05,3.09944E-05
24,7.20024E-05,6.60419E-05
25,4.00543E-05,3.19481E-05
26,4.60148E-05,3.19481E-05
27,6.00815E-05,4.69685E-05
28,4.00543E-05,3.19481E-05
29,4.00543E-05,3.29018E-05
30,6.19888E-05,5.29289E-05
31,3.91006E-05,3.09944E-05
32,3.98159E-05,3.21865E-05
33,6.19888E-05,5.10216E-05
34,6.07967E-05,4.91142E-05
35,4.00543E-05,3.19481E-05
36,6.00815E-05,4.88758E-05
37,6.10352E-05,4.88758E-05
38,4.00543E-05,3.19481E-05
39,5.50747E-05,4.69685E-05
40,3.91006E-05,3.19481E-05
41,3.91006E-05,3.19481E-05
42,4.69685E-05,3.19481E-05
43,6.07967E-05,5.10216E-05
44,6.10352E-05,5.19753E-05
45,4.1008E-05,3.21865E-05
46,4.19617E-05,3.19481E-05
47,2.5034E-05,2.00272E-05
48,5.10216E-05,3.60012E-05
49,2.19345E-05,1.78814E-05
50,2.69413E-05,2.09808E-05
51,7.70092E-05,5.6982E-05
52,7.79629E-05,5.91278E-05
53,4.41074E-05,3.69549E-05
54,6.91414E-05,5.98431E-05
55,6.50883E-05,5.10216E-05
56,1.78814E-05,1.40667E-05
57,4.50611E-05,3.19481E-05
58,4.00543E-05,3.19481E-05
59,6.8903E-05,5.00679E-05
60,6.10352E-05,5.10216E-05
61,4.00543E-05,3.19481E-05
62,7.10487E-05,4.98295E-05
63,9.799E-05,5.00679E-05
64,4.79221E-05,3.19481E-05
65,6.19888E-05,5.19753E-05
66,4.00543E-05,3.19481E-05
67,4.50611E-05,3.19481E-05
68,3.88622E-05,3.19481E-05
69,6.10352E-05,5.00679E-05
70,7.39098E-05,4.79221E-05
71,6.22272E-05,5.19753E-05
72,6.29425E-05,4.91142E-05
73,6.8903E-05,5.60284E-05
74,4.50611E-05,3.19481E-05
75,7.70092E-05,5.88894E-05
76,3.91006E-05,3.19481E-05
77,6.60419E-05,4.60148E-05
78,5.98431E-05,5.00679E-05
79,4.50611E-05,3.19481E-05
80,4.41074E-05,3.19481E-05
81,5.10216E-05,3.60012E-05
82,7.08103E-05,5.50747E-05
83,3.91006E-05,3.19481E-05
84,4.48227E-05,3.21865E-05
85,4.50611E-05,3.60012E-05
86,4.48227E-05,3.21865E-05
87,4.00543E-05,3.19481E-05
88,3.91006E-05,3.19481E-05
89,4.00543E-05,3.19481E-05
90,6.10352E-05,5.10216E-05
91,7.9155E-05,3.88622E-05
92,4.50611E-05,3.60012E-05
93,4.00543E-05,3.19481E-05
94,4.00543E-05,3.19481E-05
95,4.19617E-05,3.60012E-05
96,6.91414E-05,5.88894E-05
97,4.00543E-05,3.19481E-05
98,4.3869E-05,3.09944E-05
99,6.31809E-05,4.88758E-05
100,3.88622E-05,3.19481E-05
,,
,,
,,
PC-PC,CHAVE 256 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
1,4.60148E-05,3.60012E-05
2,7.89165E-05,6.10352E-05
3,4.50611E-05,3.60012E-05
4,7.00951E-05,5.60284E-05
5,7.9155E-05,5.6982E-05
6,5.00679E-05,3.60012E-05
7,4.50611E-05,3.60012E-05
8,6.91414E-05,5.6982E-05
9,6.79493E-05,5.6982E-05
10,4.50611E-05,3.60012E-05
11,8.10623E-05,6.48499E-05
12,0.0001010895,5.60284E-05
13,6.8903E-05,5.6982E-05
14,4.48227E-05,3.60012E-05
15,5.50747E-05,3.69549E-05
16,8.2016E-05,5.60284E-05
17,7.10487E-05,5.79357E-05
18,5.50747E-05,5.10216E-05
19,4.50611E-05,3.69549E-05
20,4.3869E-05,3.60012E-05
21,9.70364E-05,6.79493E-05
22,6.8903E-05,5.6982E-05
23,4.00543E-05,3.19481E-05
24,6.79493E-05,5.91278E-05
25,7.00951E-05,5.48363E-05
26,8.01086E-05,6.50883E-05
27,7.60555E-05,5.6982E-05
28,6.29425E-05,4.91142E-05
29,4.50611E-05,3.19481E-05
30,4.60148E-05,3.69549E-05
31,7.10487E-05,5.50747E-05
32,5.10216E-05,3.60012E-05
33,4.98295E-05,3.60012E-05
34,5.6982E-05,5.81741E-05
35,4.91142E-05,5.29289E-05
36,7.51019E-05,7.10487E-05
37,7.79629E-05,5.60284E-05
38,5.10216E-05,3.60012E-05
39,4.50611E-05,3.60012E-05
40,4.50611E-05,3.60012E-05
41,4.60148E-05,3.60012E-05
42,6.8903E-05,7.70092E-05
43,8.2016E-05,5.10216E-05
44,4.60148E-05,3.60012E-05
45,4.57764E-05,3.60012E-05
46,6.8903E-05,5.60284E-05
47,4.50611E-05,3.60012E-05
48,4.60148E-05,3.60012E-05
49,2.47955E-05,1.71661E-05
50,6.8903E-05,5.72205E-05
51,4.41074E-05,3.60012E-05
52,5.10216E-05,3.57628E-05
53,5.6982E-05,4.29153E-05
54,4.81606E-05,3.79086E-05
55,2.59876E-05,1.50204E-05
56,6.81877E-05,5.50747E-05
57,6.91414E-05,5.79357E-05
58,8.89301E-05,3.60012E-05
59,6.91414E-05,5.60284E-05
60,7.70092E-05,6.19888E-05
61,4.48227E-05,3.60012E-05
62,7.00951E-05,5.6982E-05
63,2.7895E-05,2.31266E-05
64,6.58035E-05,5.79357E-05
65,0.0001249313,6.50883E-05
66,4.60148E-05,3.60012E-05
67,6.91414E-05,5.50747E-05
68,7.39098E-05,6.50883E-05
69,4.79221E-05,3.71933E-05
70,4.3869E-05,3.69549E-05
71,6.91414E-05,5.6982E-05
72,6.58035E-05,5.10216E-05
73,4.98295E-05,3.8147E-05
74,7.39098E-05,6.19888E-05
75,4.88758E-05,3.8147E-05
76,6.81877E-05,5.38826E-05
77,6.00815E-05,5.00679E-05
78,8.01086E-05,6.29425E-05
79,6.91414E-05,6.19888E-05
80,5.81741E-05,3.79086E-05
81,5.48363E-05,3.69549E-05
82,6.60419E-05,5.10216E-05
83,0.0001170635,7.29561E-05
84,5.00679E-05,3.79086E-05
85,5.91278E-05,3.88622E-05
86,4.69685E-05,3.69549E-05
87,8.91685E-05,7.10487E-05
88,6.98566E-05,6.19888E-05
89,4.79221E-05,3.69549E-05
90,5.10216E-05,3.60012E-05
91,6.79493E-05,5.6982E-05
92,4.88758E-05,3.91006E-05
93,4.69685E-05,3.79086E-05
94,4.41074E-05,3.60012E-05
95,7.98702E-05,7.10487E-05
96,4.50611E-05,4.19617E-05
97,5.00679E-05,3.60012E-05
98,4.50611E-05,3.91006E-05
99,0.0001029968,3.60012E-05
100,6.19888E-05,3.69549E-05
,,
,,
,,
PC-PC,CHAVE 256 bits,Imagem
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
1,1.21593E-05,2.861E-06
2,4.19617E-05,5.9605E-06
3,1.69277E-05,5.0068E-06
4,1.00136E-05,3.0994E-06
5,1.50204E-05,5.0068E-06
6,1.81198E-05,5.0068E-06
7,1.40667E-05,3.0994E-06
8,1.69277E-05,5.9605E-06
9,2.09808E-05,5.0068E-06
10,1.5974E-05,5.0068E-06
11,1.28746E-05,3.0994E-06
12,1.5974E-05,3.8147E-06
13,1.19209E-05,3.0994E-06
14,3.60012E-05,1.40667E-05
15,1.19209E-05,3.0994E-06
16,2.69413E-05,6.9141E-06
17,1.71661E-05,5.0068E-06
18,1.28746E-05,2.861E-06
19,1.09673E-05,3.0994E-06
20,2.09808E-05,5.0068E-06
21,1.19209E-05,2.861E-06
22,1.19209E-05,4.0531E-06
23,1.5974E-05,4.0531E-06
24,2.5034E-05,5.9605E-06
25,1.78814E-05,5.9605E-06
26,5.0068E-06,1.1921E-06
27,1.09673E-05,3.0994E-06
28,1.5974E-05,5.0068E-06
29,1.28746E-05,3.0994E-06
30,1.3113E-05,3.0994E-06
31,1.50204E-05,4.0531E-06
32,1.21593E-05,4.0531E-06
33,1.28746E-05,3.0994E-06
34,3.19481E-05,5.0068E-06
35,2.69413E-05,4.0531E-06
36,1.5974E-05,5.0068E-06
37,1.5974E-05,5.0068E-06
38,1.71661E-05,5.9605E-06
39,1.28746E-05,4.0531E-06
40,1.50204E-05,5.9605E-06
41,1.81198E-05,6.9141E-06
42,1.69277E-05,5.9605E-06
43,1.50204E-05,5.0068E-06
44,1.50204E-05,4.7684E-06
45,1.19209E-05,3.0994E-06
46,1.19209E-05,3.0994E-06
47,1.71661E-05,2.861E-06
48,1.5974E-05,5.0068E-06
49,1.81198E-05,2.861E-06
50,1.40667E-05,2.861E-06
51,3.00407E-05,5.0068E-06
52,1.5974E-05,5.0068E-06
53,1.3113E-05,3.8147E-06
54,5.0068E-06,1.9073E-06
55,2.21729E-05,5.9605E-06
56,1.19209E-05,2.861E-06
57,1.69277E-05,5.9605E-06
58,1.5974E-05,5.0068E-06
59,1.5974E-05,4.0531E-06
60,1.50204E-05,3.8147E-06
61,1.69277E-05,5.0068E-06
